match_id,player,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh,player1,player2,date,year,month,player1_rank,player2_rank
19740714-m-bastad-f-bjorn-borg-adriano-panatta,2,2,13,0,1,7,0,6,1,4,1,18,5,1,0,1,8,2,5,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,1,1,38,0,1,23,13,15,10,6,5,28,14,19,6,13,9,3,5,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,2,1,28,0,0,18,10,10,4,3,1,38,15,10,7,3,11,6,5,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,1,2,18,1,2,9,9,9,4,2,2,13,12,5,2,2,4,1,1,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,1,3,35,0,1,20,10,15,8,4,1,43,20,12,7,5,9,6,2,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,2,3,43,0,2,26,15,17,8,5,2,35,17,11,7,4,12,7,3,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,1,4,31,1,1,12,11,19,11,2,2,26,10,11,7,3,4,2,1,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,2,4,26,2,0,18,12,8,4,4,3,31,9,11,5,4,11,6,5,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,2,Total,110,2,3,69,37,41,17,16,7,122,46,33,19,12,42,21,18,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19740714-m-bastad-f-bjorn-borg-adriano-panatta,1,Total,122,2,5,64,43,58,33,14,10,110,56,47,22,23,26,12,9,bjorn-borg,adriano-panatta,1974-07-14,1974,7,9.0,38.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,1,1,42,3,0,29,18,13,8,2,1,34,10,12,4,5,11,6,5,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,2,1,34,4,2,21,17,13,7,0,0,42,16,12,5,2,9,5,2,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,1,2,28,0,0,17,13,11,8,1,1,25,10,13,5,7,4,3,1,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,2,2,25,3,1,14,11,11,4,2,1,28,7,7,3,1,5,1,3,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,2,4,45,7,2,30,24,15,7,4,3,38,11,21,5,8,5,0,3,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,1,3,32,1,1,25,13,7,3,3,1,29,10,11,1,8,8,4,3,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,2,3,29,3,2,18,14,11,5,4,3,32,16,14,9,2,6,2,2,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,1,4,38,0,0,28,19,10,8,2,1,45,14,15,5,9,6,4,2,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,2,Total,133,17,7,83,66,50,23,10,7,140,50,54,22,13,25,8,10,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19750101-m-australian-open-f-jimmy-connors-john-newcombe,1,Total,140,4,1,99,63,41,27,8,4,133,44,51,15,29,29,17,11,jimmy-connors,john-newcombe,1975-01-01,1975,1,1.0,2.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,1,Total,69,2,1,32,25,37,21,5,4,63,36,28,10,16,16,6,9,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,2,Total,63,2,2,41,20,22,7,12,4,69,23,14,8,4,26,15,9,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,1,1,26,2,0,15,10,11,6,2,1,18,13,10,3,5,6,2,4,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,2,1,18,0,0,11,3,7,2,3,0,26,10,4,2,2,10,7,3,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,1,2,24,0,0,10,9,14,8,1,1,26,10,9,3,6,6,2,4,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,2,2,26,2,1,18,12,8,4,4,2,24,7,8,5,1,8,4,3,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,1,3,19,0,1,7,6,12,7,2,2,19,13,9,4,5,4,2,1,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19751219-m-davis-cup-world-group-f-rr-bjorn-borg-jiri-hrebec,2,3,19,0,1,12,5,7,1,5,2,19,6,2,1,1,8,4,3,bjorn-borg,jiri-hrebec,1975-12-19,1975,12,3.0,53.0
19780125-m-pepsi-grand-slam-sf-brian-gottfried-bjorn-borg,1,1,32,0,1,20,13,12,4,7,5,22,6,7,4,3,19,5,13,brian-gottfried,bjorn-borg,1978-01-25,1978,1,5.0,3.0
19780125-m-pepsi-grand-slam-sf-brian-gottfried-bjorn-borg,2,1,22,0,0,12,11,10,5,0,0,32,15,10,7,3,11,3,8,brian-gottfried,bjorn-borg,1978-01-25,1978,1,5.0,3.0
